event,key,sim,timestamp,cache_occupancy
miss,row_12735,-1.0,1756053970.661367,0
add,row_12735,,1756053970.6613839,1
miss,row_18051,0.31304267048835754,1756053970.66151,1
add,row_18051,,1756053970.661515,2
miss,row_12325,0.3603361248970032,1756053970.6616251,2
add,row_12325,,1756053970.6616352,3
hit,row_12325,1.0,1756053970.661747,3
hit,row_12325,1.0,1756053970.661846,3
hit,row_12325,1.0,1756053970.661959,3
miss,row_8721,0.5595591068267822,1756053970.662071,3
add,row_8721,,1756053970.662077,4
hit,row_8721,1.0,1756053970.662178,4
miss,row_6089,0.29990771412849426,1756053970.6622841,4
add,row_6089,,1756053970.6622899,5
miss,row_19244,0.6218864321708679,1756053970.662403,5
add,row_19244,,1756053970.662411,6
miss,row_19461,0.4721902012825012,1756053970.6625202,6
add,row_19461,,1756053970.662527,7
miss,row_19710,0.39715251326560974,1756053970.662646,7
add,row_19710,,1756053970.662653,8
miss,row_19743,0.6745554804801941,1756053970.6627579,8
add,row_19743,,1756053970.662764,9
miss,row_19823,0.7013399600982666,1756053970.66287,9
add,row_19823,,1756053970.662875,10
hit,row_19461,1.0000001192092896,1756053970.66297,10
hit,row_19823,0.8707386255264282,1756053970.663085,10
miss,row_19683,0.4982869029045105,1756053970.663178,10
add,row_19683,,1756053970.6631832,11
hit,row_19683,0.7921233177185059,1756053970.6633332,11
hit,row_19823,0.8707386255264282,1756053970.663423,11
hit,row_19461,1.0000001192092896,1756053970.663539,11
hit,row_19823,0.7735755443572998,1756053970.663651,11
miss,row_19680,0.33555617928504944,1756053970.6637561,11
add,row_19680,,1756053970.663767,12
miss,row_19008,0.703289806842804,1756053970.663876,12
add,row_19008,,1756053970.663892,13
miss,row_19245,0.6596985459327698,1756053970.664006,13
add,row_19245,,1756053970.664012,14
hit,row_19823,0.7735755443572998,1756053970.6641111,14
hit,row_19461,1.0000001192092896,1756053970.6642308,14
hit,row_19461,1.0000001192092896,1756053970.664319,14
hit,row_19823,0.7735755443572998,1756053970.664412,14
miss,row_19274,0.4661111831665039,1756053970.664515,14
add,row_19274,,1756053970.664524,15
miss,row_19246,0.7141205072402954,1756053970.664628,15
add,row_19246,,1756053970.664639,16
miss,row_19488,0.3907623589038849,1756053970.664737,16
add,row_19488,,1756053970.664746,17
hit,row_19461,1.0000001192092896,1756053970.6648698,17
miss,row_19489,0.6703006625175476,1756053970.66497,17
add,row_19489,,1756053970.664976,18
hit,row_19823,0.7735755443572998,1756053970.6650639,18
miss,row_19226,0.5299997925758362,1756053970.665154,18
add,row_19226,,1756053970.66516,19
hit,row_19461,1.0000001192092896,1756053970.6652591,19
miss,row_19676,0.6310093998908997,1756053970.6653812,19
add,row_19676,,1756053970.6653912,20
hit,row_19823,0.7735755443572998,1756053970.665504,20
miss,row_19247,0.7200479507446289,1756053970.665601,20
evict,row_12735,,1756053970.665628,19
add,row_19247,,1756053970.665637,20
hit,row_19489,1.0,1756053970.665741,20
miss,row_19485,0.5554088354110718,1756053970.6658628,20
evict,row_18051,,1756053970.665879,19
add,row_19485,,1756053970.6658912,20
miss,row_19699,0.6287775039672852,1756053970.665998,20
evict,row_6089,,1756053970.666015,19
add,row_19699,,1756053970.6660218,20
hit,row_19226,1.0000001192092896,1756053970.666122,20
hit,row_19489,1.0,1756053970.6662169,20
miss,row_19735,0.6163985729217529,1756053970.666322,20
evict,row_19244,,1756053970.666334,19
add,row_19735,,1756053970.66634,20
hit,row_19823,0.7735755443572998,1756053970.666432,20
hit,row_19699,1.0000001192092896,1756053970.666532,20
hit,row_19823,0.7735755443572998,1756053970.666643,20
miss,row_19718,0.5137856006622314,1756053970.66673,20
evict,row_19710,,1756053970.66674,19
add,row_19718,,1756053970.6667461,20
hit,row_19461,1.0000001192092896,1756053970.666844,20
hit,row_19226,1.0000001192092896,1756053970.666946,20
miss,row_19961,0.42476969957351685,1756053970.6670551,20
evict,row_19743,,1756053970.6670752,19
add,row_19961,,1756053970.667083,20
hit,row_19718,0.9786139726638794,1756053970.6671848,20
hit,row_19823,0.7735755443572998,1756053970.667299,20
miss,row_19248,0.6435092091560364,1756053970.667388,20
evict,row_19680,,1756053970.667402,19
add,row_19248,,1756053970.6674109,20
hit,row_19699,0.9935438632965088,1756053970.667524,20
hit,row_19735,0.9685797095298767,1756053970.6676412,20
hit,row_19226,1.0000001192092896,1756053970.667732,20
hit,row_19823,0.7735755443572998,1756053970.667818,20
hit,row_19461,1.0000001192092896,1756053970.6679192,20
miss,row_19249,0.7313467860221863,1756053970.66804,20
evict,row_19008,,1756053970.6680498,19
add,row_19249,,1756053970.6680572,20
hit,row_19823,0.7735755443572998,1756053970.6681569,20
miss,row_19980,0.6531816720962524,1756053970.66826,20
evict,row_19245,,1756053970.668268,19
add,row_19980,,1756053970.668273,20
hit,row_19699,1.0000001192092896,1756053970.668375,20
hit,row_19699,1.0000001192092896,1756053970.668467,20
hit,row_19226,1.0000001192092896,1756053970.668569,20
hit,row_19980,0.7810689210891724,1756053970.6686761,20
miss,row_19733,0.34154170751571655,1756053970.668789,20
evict,row_19274,,1756053970.6687949,19
add,row_19733,,1756053970.6688,20
miss,row_19836,0.6354207992553711,1756053970.668896,20
evict,row_19246,,1756053970.668908,19
add,row_19836,,1756053970.6689138,20
hit,row_19226,0.9889887571334839,1756053970.669007,20
miss,row_19250,0.5034714937210083,1756053970.66911,20
evict,row_19488,,1756053970.66912,19
add,row_19250,,1756053970.669125,20
hit,row_19489,0.7700644731521606,1756053970.669216,20
miss,row_19716,0.5197430849075317,1756053970.669315,20
evict,row_19676,,1756053970.669328,19
add,row_19716,,1756053970.669336,20
hit,row_19836,0.9800155758857727,1756053970.669442,20
hit,row_19699,0.9817090034484863,1756053970.669535,20
miss,row_19493,0.7144021987915039,1756053970.669641,20
evict,row_19247,,1756053970.669651,19
add,row_19493,,1756053970.669657,20
hit,row_19226,0.9514291882514954,1756053970.6697679,20
hit,row_19836,0.8239378333091736,1756053970.669881,20
hit,row_19461,1.0000001192092896,1756053970.6699789,20
hit,row_19493,1.0,1756053970.6700742,20
hit,row_19836,0.7901621460914612,1756053970.670175,20
miss,row_19251,0.6444854736328125,1756053970.6702762,20
evict,row_19485,,1756053970.6702862,19
add,row_19251,,1756053970.670294,20
hit,row_19699,0.9712181687355042,1756053970.670389,20
hit,row_19493,0.9315518140792847,1756053970.670482,20
hit,row_19735,0.8878843784332275,1756053970.6705852,20
miss,row_19129,0.5322901010513306,1756053970.6706848,20
evict,row_19961,,1756053970.6706932,19
add,row_19129,,1756053970.670698,20
hit,row_19718,0.9479008913040161,1756053970.67079,20
hit,row_19461,1.0000001192092896,1756053970.670901,20
hit,row_19836,0.7564679384231567,1756053970.671009,20
hit,row_19699,0.8439382314682007,1756053970.671115,20
miss,row_19798,0.5143678188323975,1756053970.671216,20
evict,row_19248,,1756053970.6712298,19
add,row_19798,,1756053970.671238,20
hit,row_19226,0.9032808542251587,1756053970.6713269,20
hit,row_19735,0.8581677675247192,1756053970.671425,20
hit,row_19251,1.0000001192092896,1756053970.671523,20
hit,row_19718,0.8362621068954468,1756053970.6716118,20
miss,row_19108,0.45489221811294556,1756053970.6717079,20
evict,row_19249,,1756053970.6717162,19
add,row_19108,,1756053970.671721,20
hit,row_19699,0.8439382314682007,1756053970.6718059,20
hit,row_19836,0.7564679384231567,1756053970.671902,20
miss,row_19648,0.5889469981193542,1756053970.6720169,20
evict,row_19733,,1756053970.6720252,19
add,row_19648,,1756053970.672031,20
miss,row_19186,0.6255553960800171,1756053970.672148,20
evict,row_19250,,1756053970.672155,19
add,row_19186,,1756053970.67216,20
hit,row_19798,1.0,1756053970.67227,20
miss,row_19313,0.40000009536743164,1756053970.672374,20
evict,row_19716,,1756053970.6723871,19
add,row_19313,,1756053970.672395,20
miss,row_19367,0.41224920749664307,1756053970.672508,20
evict,row_19129,,1756053970.672517,19
add,row_19367,,1756053970.672523,20
miss,row_19744,0.6675459742546082,1756053970.672632,20
evict,row_19108,,1756053970.672651,19
add,row_19744,,1756053970.672659,20
miss,row_19009,0.42673972249031067,1756053970.67276,20
evict,row_19648,,1756053970.67277,19
add,row_19009,,1756053970.672777,20
hit,row_19009,0.9885514974594116,1756053970.672889,20
miss,row_19368,0.5061215758323669,1756053970.672983,20
evict,row_19186,,1756053970.672991,19
add,row_19368,,1756053970.672998,20
hit,row_19744,1.0000001192092896,1756053970.673089,20
miss,row_19369,0.7106435298919678,1756053970.6731992,20
evict,row_19313,,1756053970.673207,19
add,row_19369,,1756053970.673213,20
miss,row_19769,0.4766678810119629,1756053970.673308,20
evict,row_19367,,1756053970.673314,19
add,row_19769,,1756053970.6733189,20
miss,row_19678,0.3313518464565277,1756053970.673426,20
evict,row_19368,,1756053970.673434,19
add,row_19678,,1756053970.673441,20
miss,row_19370,0.689610481262207,1756053970.6735518,20
evict,row_19369,,1756053970.673558,19
add,row_19370,,1756053970.673564,20
