event,key,sim,timestamp,cache_occupancy
miss,row_12735,-1.0,1756054036.0202508,0
add,row_12735,,1756054036.020273,1
miss,row_18051,0.31304267048835754,1756054036.020402,1
add,row_18051,,1756054036.020413,2
miss,row_12325,0.3603361248970032,1756054036.0204968,2
add,row_12325,,1756054036.0205052,3
hit,row_12325,1.0,1756054036.020603,3
hit,row_12325,1.0,1756054036.0207412,3
hit,row_12325,1.0,1756054036.020857,3
miss,row_8721,0.5595591068267822,1756054036.020958,3
add,row_8721,,1756054036.020965,4
hit,row_8721,1.0,1756054036.021049,4
miss,row_6089,0.29990771412849426,1756054036.021135,4
add,row_6089,,1756054036.021142,5
miss,row_19244,0.6218864321708679,1756054036.021245,5
add,row_19244,,1756054036.02125,6
miss,row_19461,0.4721902012825012,1756054036.021324,6
add,row_19461,,1756054036.021329,7
miss,row_19710,0.39715251326560974,1756054036.021424,7
add,row_19710,,1756054036.02143,8
miss,row_19743,0.6745554804801941,1756054036.021518,8
add,row_19743,,1756054036.021524,9
miss,row_19823,0.7013399600982666,1756054036.021615,9
add,row_19823,,1756054036.02162,10
hit,row_19461,1.0000001192092896,1756054036.021703,10
hit,row_19823,0.8707386255264282,1756054036.021788,10
miss,row_19683,0.4982869029045105,1756054036.021896,10
add,row_19683,,1756054036.0219011,11
hit,row_19683,0.7921233177185059,1756054036.0219898,11
hit,row_19823,0.8707386255264282,1756054036.022069,11
hit,row_19461,1.0000001192092896,1756054036.022186,11
hit,row_19823,0.7735755443572998,1756054036.0222552,11
miss,row_19680,0.33555617928504944,1756054036.022335,11
add,row_19680,,1756054036.02234,12
miss,row_19008,0.703289806842804,1756054036.022437,12
add,row_19008,,1756054036.022442,13
miss,row_19245,0.6596985459327698,1756054036.0225332,13
add,row_19245,,1756054036.022539,14
hit,row_19823,0.7735755443572998,1756054036.022618,14
hit,row_19461,1.0000001192092896,1756054036.0227032,14
hit,row_19461,1.0000001192092896,1756054036.022798,14
hit,row_19823,0.7735755443572998,1756054036.022905,14
miss,row_19274,0.4661111831665039,1756054036.022989,14
add,row_19274,,1756054036.022995,15
miss,row_19246,0.7141205072402954,1756054036.023076,15
add,row_19246,,1756054036.023081,16
miss,row_19488,0.3907623589038849,1756054036.023156,16
add,row_19488,,1756054036.023177,17
hit,row_19461,1.0000001192092896,1756054036.023273,17
miss,row_19489,0.6703006625175476,1756054036.0233622,17
add,row_19489,,1756054036.02337,18
hit,row_19823,0.7735755443572998,1756054036.023464,18
miss,row_19226,0.5299997925758362,1756054036.023552,18
add,row_19226,,1756054036.0235572,19
hit,row_19461,1.0000001192092896,1756054036.023655,19
miss,row_19676,0.6310093998908997,1756054036.023732,19
add,row_19676,,1756054036.0237372,20
hit,row_19823,0.7735755443572998,1756054036.023808,20
miss,row_19247,0.7200479507446289,1756054036.023884,20
add,row_19247,,1756054036.0238888,21
hit,row_19489,1.0,1756054036.0239842,21
miss,row_19485,0.5554088354110718,1756054036.0240781,21
add,row_19485,,1756054036.024085,22
miss,row_19699,0.6287775039672852,1756054036.024194,22
add,row_19699,,1756054036.024199,23
hit,row_19226,1.0000001192092896,1756054036.024309,23
hit,row_19489,1.0,1756054036.024426,23
miss,row_19735,0.6163985729217529,1756054036.024674,23
add,row_19735,,1756054036.024678,24
hit,row_19823,0.7735755443572998,1756054036.024792,24
hit,row_19699,1.0000001192092896,1756054036.0249238,24
hit,row_19823,0.7735755443572998,1756054036.02504,24
miss,row_19718,0.5137856006622314,1756054036.025158,24
add,row_19718,,1756054036.025163,25
hit,row_19461,1.0000001192092896,1756054036.025268,25
hit,row_19226,1.0000001192092896,1756054036.025375,25
miss,row_19961,0.42476969957351685,1756054036.0254898,25
add,row_19961,,1756054036.025496,26
hit,row_19718,0.9786139726638794,1756054036.025606,26
hit,row_19823,0.7735755443572998,1756054036.0257301,26
miss,row_19248,0.6435092091560364,1756054036.0258281,26
add,row_19248,,1756054036.025833,27
hit,row_19699,0.9935438632965088,1756054036.025934,27
hit,row_19735,0.9685797095298767,1756054036.0260322,27
hit,row_19226,1.0000001192092896,1756054036.026117,27
hit,row_19823,0.7735755443572998,1756054036.026206,27
hit,row_19461,1.0000001192092896,1756054036.0263062,27
miss,row_19249,0.7313467860221863,1756054036.0264,27
add,row_19249,,1756054036.0264041,28
hit,row_19823,0.7735755443572998,1756054036.026509,28
miss,row_19980,0.6531816720962524,1756054036.026656,28
add,row_19980,,1756054036.0266628,29
hit,row_19699,1.0000001192092896,1756054036.026757,29
hit,row_19699,1.0000001192092896,1756054036.026887,29
hit,row_19226,1.0000001192092896,1756054036.0269902,29
hit,row_19980,0.7810689210891724,1756054036.027116,29
miss,row_19733,0.4515770673751831,1756054036.0272279,29
add,row_19733,,1756054036.027242,30
miss,row_19836,0.6354207992553711,1756054036.027348,30
add,row_19836,,1756054036.027356,31
hit,row_19226,0.9889887571334839,1756054036.027453,31
miss,row_19250,0.5034714937210083,1756054036.0275462,31
add,row_19250,,1756054036.027553,32
hit,row_19489,0.7700644731521606,1756054036.027651,32
miss,row_19716,0.5338059663772583,1756054036.027763,32
add,row_19716,,1756054036.027775,33
hit,row_19836,0.9800155758857727,1756054036.027893,33
hit,row_19699,0.9817090034484863,1756054036.027998,33
miss,row_19493,0.7144021987915039,1756054036.0281322,33
add,row_19493,,1756054036.028141,34
hit,row_19226,0.9514291882514954,1756054036.0282319,34
hit,row_19836,0.8239378333091736,1756054036.028349,34
hit,row_19461,1.0000001192092896,1756054036.028449,34
hit,row_19493,1.0,1756054036.02855,34
hit,row_19836,0.7901621460914612,1756054036.02864,34
miss,row_19251,0.7389761805534363,1756054036.028727,34
add,row_19251,,1756054036.028734,35
hit,row_19699,0.9712181687355042,1756054036.028851,35
hit,row_19493,0.9315518140792847,1756054036.028949,35
hit,row_19735,0.8878843784332275,1756054036.029057,35
miss,row_19129,0.5322901010513306,1756054036.0291681,35
add,row_19129,,1756054036.029176,36
hit,row_19718,0.9479008913040161,1756054036.02928,36
hit,row_19461,1.0000001192092896,1756054036.029388,36
hit,row_19836,0.7564679384231567,1756054036.029479,36
hit,row_19699,0.8439382314682007,1756054036.0295758,36
miss,row_19798,0.5143678188323975,1756054036.029703,36
add,row_19798,,1756054036.02971,37
hit,row_19226,0.9032808542251587,1756054036.0298,37
hit,row_19735,0.8581677675247192,1756054036.0298932,37
hit,row_19251,1.0000001192092896,1756054036.029993,37
hit,row_19718,0.8362621068954468,1756054036.030095,37
miss,row_19108,0.45489221811294556,1756054036.0302122,37
add,row_19108,,1756054036.0302222,38
