event,key,sim,timestamp,cache_occupancy
miss,row_12735,-1.0,1756053975.135675,0
add,row_12735,,1756053975.135693,1
miss,row_18051,0.31304267048835754,1756053975.135817,1
add,row_18051,,1756053975.1358268,2
miss,row_12325,0.3603361248970032,1756053975.1359308,2
add,row_12325,,1756053975.135942,3
hit,row_12325,1.0,1756053975.1360261,3
hit,row_12325,1.0,1756053975.136123,3
hit,row_12325,1.0,1756053975.136209,3
miss,row_8721,0.5595591068267822,1756053975.1363032,3
add,row_8721,,1756053975.136307,4
hit,row_8721,1.0,1756053975.13639,4
miss,row_6089,0.29990771412849426,1756053975.136478,4
add,row_6089,,1756053975.1364841,5
miss,row_19244,0.6218864321708679,1756053975.136564,5
add,row_19244,,1756053975.136569,6
miss,row_19461,0.4721902012825012,1756053975.136666,6
add,row_19461,,1756053975.136671,7
miss,row_19710,0.39715251326560974,1756053975.136745,7
add,row_19710,,1756053975.13675,8
miss,row_19743,0.6745554804801941,1756053975.136831,8
add,row_19743,,1756053975.136836,9
miss,row_19823,0.7013399600982666,1756053975.136908,9
add,row_19823,,1756053975.136915,10
hit,row_19461,1.0000001192092896,1756053975.136995,10
hit,row_19823,0.8707386255264282,1756053975.137096,10
miss,row_19683,0.4982869029045105,1756053975.137194,10
add,row_19683,,1756053975.1371992,11
miss,row_19684,0.7921233177185059,1756053975.137289,11
add,row_19684,,1756053975.137294,12
hit,row_19823,0.8707386255264282,1756053975.137372,12
hit,row_19461,1.0000001192092896,1756053975.137457,12
miss,row_19826,0.7735755443572998,1756053975.1375492,12
add,row_19826,,1756053975.137554,13
miss,row_19680,0.33555617928504944,1756053975.1376462,13
add,row_19680,,1756053975.13765,14
miss,row_19008,0.703289806842804,1756053975.137727,14
add,row_19008,,1756053975.137732,15
miss,row_19245,0.6596985459327698,1756053975.1378229,15
add,row_19245,,1756053975.137831,16
hit,row_19826,1.0,1756053975.137918,16
hit,row_19461,1.0000001192092896,1756053975.137992,16
hit,row_19461,1.0000001192092896,1756053975.138077,16
hit,row_19826,1.0,1756053975.138154,16
miss,row_19274,0.4661111831665039,1756053975.138245,16
add,row_19274,,1756053975.1382542,17
miss,row_19246,0.7141205072402954,1756053975.1383328,17
add,row_19246,,1756053975.1383412,18
miss,row_19488,0.3907623589038849,1756053975.138439,18
add,row_19488,,1756053975.138444,19
hit,row_19461,1.0000001192092896,1756053975.1385238,19
miss,row_19489,0.6703006625175476,1756053975.1386151,19
add,row_19489,,1756053975.138619,20
hit,row_19826,1.0,1756053975.1387038,20
miss,row_19226,0.5299997925758362,1756053975.138794,20
evict,row_12735,,1756053975.138807,19
add,row_19226,,1756053975.1388109,20
hit,row_19461,1.0000001192092896,1756053975.138891,20
miss,row_19676,0.6310093998908997,1756053975.138973,20
evict,row_18051,,1756053975.138985,19
add,row_19676,,1756053975.138991,20
hit,row_19826,1.0,1756053975.139075,20
miss,row_19247,0.7200479507446289,1756053975.139159,20
evict,row_6089,,1756053975.139169,19
add,row_19247,,1756053975.139173,20
hit,row_19489,1.0,1756053975.1392682,20
miss,row_19485,0.5554088354110718,1756053975.139358,20
evict,row_19244,,1756053975.139364,19
add,row_19485,,1756053975.1393678,20
miss,row_19699,0.6287775039672852,1756053975.139458,20
evict,row_19710,,1756053975.139464,19
add,row_19699,,1756053975.139468,20
hit,row_19226,1.0000001192092896,1756053975.1395571,20
hit,row_19489,1.0,1756053975.1396532,20
miss,row_19735,0.6163985729217529,1756053975.139752,20
evict,row_19743,,1756053975.13976,19
add,row_19735,,1756053975.139766,20
hit,row_19826,1.0,1756053975.139862,20
hit,row_19699,1.0000001192092896,1756053975.1399639,20
hit,row_19826,1.0,1756053975.14005,20
miss,row_19718,0.5137856006622314,1756053975.1401331,20
evict,row_19683,,1756053975.140142,19
add,row_19718,,1756053975.140147,20
hit,row_19461,1.0000001192092896,1756053975.1402318,20
hit,row_19226,1.0000001192092896,1756053975.1403131,20
miss,row_19961,0.42476969957351685,1756053975.1403918,20
evict,row_19684,,1756053975.140397,19
add,row_19961,,1756053975.140401,20
hit,row_19718,0.9786139726638794,1756053975.14049,20
hit,row_19826,1.0,1756053975.1405811,20
miss,row_19248,0.6435092091560364,1756053975.1406689,20
evict,row_19680,,1756053975.140675,19
add,row_19248,,1756053975.140679,20
hit,row_19699,0.9935438632965088,1756053975.140776,20
hit,row_19735,0.9685797095298767,1756053975.1408598,20
hit,row_19226,1.0000001192092896,1756053975.1409411,20
hit,row_19826,1.0,1756053975.141026,20
hit,row_19461,1.0000001192092896,1756053975.141114,20
miss,row_19249,0.7313467860221863,1756053975.1412039,20
evict,row_19008,,1756053975.141213,19
add,row_19249,,1756053975.141218,20
hit,row_19826,1.0,1756053975.1413062,20
miss,row_19980,0.6531816720962524,1756053975.141396,20
evict,row_19245,,1756053975.141402,19
add,row_19980,,1756053975.141406,20
hit,row_19699,1.0000001192092896,1756053975.141483,20
hit,row_19699,1.0000001192092896,1756053975.1415732,20
hit,row_19226,1.0000001192092896,1756053975.141665,20
miss,row_19981,0.7810689210891724,1756053975.141751,20
evict,row_19274,,1756053975.1417558,19
add,row_19981,,1756053975.14176,20
miss,row_19733,0.34154170751571655,1756053975.141842,20
evict,row_19246,,1756053975.141848,19
add,row_19733,,1756053975.141852,20
miss,row_19836,0.7969620227813721,1756053975.141933,20
evict,row_19488,,1756053975.141938,19
add,row_19836,,1756053975.141942,20
