event,key,sim,timestamp,cache_occupancy
miss,row_12735,-1.0,1756053968.524373,0
add,row_12735,,1756053968.524391,1
miss,row_18051,0.31304267048835754,1756053968.524547,1
add,row_18051,,1756053968.524566,2
miss,row_12325,0.3603361248970032,1756053968.524694,2
add,row_12325,,1756053968.524703,3
hit,row_12325,1.0,1756053968.524815,3
hit,row_12325,1.0,1756053968.524929,3
hit,row_12325,1.0,1756053968.525046,3
miss,row_8721,0.5595591068267822,1756053968.525151,3
add,row_8721,,1756053968.525161,4
hit,row_8721,1.0,1756053968.5252821,4
miss,row_6089,0.29990771412849426,1756053968.525388,4
add,row_6089,,1756053968.525395,5
miss,row_19244,0.6218864321708679,1756053968.525511,5
add,row_19244,,1756053968.525516,6
miss,row_19461,0.4721902012825012,1756053968.525624,6
add,row_19461,,1756053968.525629,7
miss,row_19710,0.39715251326560974,1756053968.525728,7
add,row_19710,,1756053968.525734,8
miss,row_19743,0.6745554804801941,1756053968.525843,8
add,row_19743,,1756053968.52585,9
miss,row_19823,0.7013399600982666,1756053968.5259469,9
add,row_19823,,1756053968.525952,10
hit,row_19461,1.0000001192092896,1756053968.5260859,10
hit,row_19823,0.8707386255264282,1756053968.526196,10
miss,row_19683,0.4982869029045105,1756053968.526361,10
add,row_19683,,1756053968.5263731,11
hit,row_19683,0.7921233177185059,1756053968.526459,11
hit,row_19823,0.8707386255264282,1756053968.52656,11
hit,row_19461,1.0000001192092896,1756053968.5266502,11
hit,row_19823,0.7735755443572998,1756053968.526759,11
miss,row_19680,0.33555617928504944,1756053968.526853,11
add,row_19680,,1756053968.526859,12
miss,row_19008,0.703289806842804,1756053968.526966,12
add,row_19008,,1756053968.526973,13
miss,row_19245,0.6596985459327698,1756053968.5270588,13
add,row_19245,,1756053968.5270631,14
hit,row_19823,0.7735755443572998,1756053968.5271502,14
hit,row_19461,1.0000001192092896,1756053968.527235,14
hit,row_19461,1.0000001192092896,1756053968.527319,14
hit,row_19823,0.7735755443572998,1756053968.5274081,14
miss,row_19274,0.4661111831665039,1756053968.527498,14
add,row_19274,,1756053968.527502,15
miss,row_19246,0.7141205072402954,1756053968.527585,15
add,row_19246,,1756053968.5275898,16
miss,row_19488,0.3907623589038849,1756053968.5276952,16
add,row_19488,,1756053968.527717,17
hit,row_19461,1.0000001192092896,1756053968.527807,17
miss,row_19489,0.6703006625175476,1756053968.527911,17
add,row_19489,,1756053968.527918,18
hit,row_19823,0.7735755443572998,1756053968.528,18
miss,row_19226,0.5299997925758362,1756053968.528082,18
add,row_19226,,1756053968.528086,19
hit,row_19461,1.0000001192092896,1756053968.5281768,19
miss,row_19676,0.6310093998908997,1756053968.52826,19
add,row_19676,,1756053968.528265,20
hit,row_19823,0.7735755443572998,1756053968.5283608,20
miss,row_19247,0.7200479507446289,1756053968.528445,20
