event,key,sim,timestamp,cache_occupancy
miss,row_12735,,1756054148.849154,0
miss,row_18051,,1756054148.8491662,0
miss,row_12325,,1756054148.849173,0
miss,row_12324,,1756054148.8491771,0
add,row_12326,,1756054148.849191,1
miss,row_12326,,1756054148.849192,1
hit,row_12326,1.0,1756054148.8493161,1
add,row_8721,,1756054148.849558,2
miss,row_8721,0.5595591068267822,1756054148.849558,2
hit,row_8721,1.0,1756054148.849667,2
miss,row_6089,0.13117684423923492,1756054148.849792,2
miss,row_19244,0.6218864321708679,1756054148.849906,2
add,row_19461,,1756054148.8500202,3
miss,row_19461,0.4713253974914551,1756054148.8500211,3
miss,row_19710,0.39715251326560974,1756054148.850125,3
miss,row_19743,0.6745554804801941,1756054148.850239,3
miss,row_19823,0.7013399600982666,1756054148.850344,3
hit,row_19461,1.0000001192092896,1756054148.8504572,3
add,row_19824,,1756054148.8505611,4
miss,row_19824,0.5474939942359924,1756054148.8505611,4
add,row_19683,,1756054148.850657,5
miss,row_19683,0.45949897170066833,1756054148.850658,5
hit,row_19683,0.7921233177185059,1756054148.850848,5
hit,row_19824,1.0000001192092896,1756054148.850951,5
hit,row_19461,1.0000001192092896,1756054148.851043,5
hit,row_19824,0.794429361820221,1756054148.851132,5
miss,row_19680,0.2931801974773407,1756054148.8512151,5
miss,row_19008,0.703289806842804,1756054148.8512971,5
miss,row_19245,0.5773886442184448,1756054148.85139,5
hit,row_19824,0.794429361820221,1756054148.851496,5
hit,row_19461,1.0000001192092896,1756054148.851613,5
hit,row_19461,1.0000001192092896,1756054148.8517041,5
hit,row_19824,0.794429361820221,1756054148.8517919,5
add,row_19274,,1756054148.8519301,6
miss,row_19274,0.4004249572753906,1756054148.8519309,6
miss,row_19246,0.6121888160705566,1756054148.852012,6
miss,row_19488,0.3907623589038849,1756054148.852096,6
hit,row_19461,1.0000001192092896,1756054148.8521779,6
miss,row_19489,0.6703006625175476,1756054148.852267,6
hit,row_19824,0.794429361820221,1756054148.8523479,6
add,row_19226,,1756054148.852433,7
miss,row_19226,0.48527926206588745,1756054148.852434,7
hit,row_19461,1.0000001192092896,1756054148.852525,7
miss,row_19676,0.5530493855476379,1756054148.852609,7
hit,row_19824,0.794429361820221,1756054148.852693,7
miss,row_19247,0.584123969078064,1756054148.852772,7
miss,row_19490,0.6703006625175476,1756054148.852857,7
add,row_19485,,1756054148.852939,8
miss,row_19485,0.489242285490036,1756054148.85294,8
add,row_19699,,1756054148.853037,9
miss,row_19699,0.5214415788650513,1756054148.853037,9
hit,row_19226,1.0000001192092896,1756054148.853142,9
miss,row_19491,0.6703006625175476,1756054148.8532312,9
add,row_19735,,1756054148.853319,10
miss,row_19735,0.5789269804954529,1756054148.85332,10
add,row_19831,,1756054148.853416,11
hit,row_19824,0.794429361820221,1756054148.853416,11
hit,row_19699,1.0000001192092896,1756054148.853506,11
hit,row_19831,1.0,1756054148.853589,11
miss,row_19718,0.5137856006622314,1756054148.8536808,11
hit,row_19461,1.0000001192092896,1756054148.853772,11
hit,row_19226,1.0000001192092896,1756054148.853854,11
add,row_19961,,1756054148.85394,12
miss,row_19961,0.3728179931640625,1756054148.853941,12
miss,row_19719,0.4865274131298065,1756054148.854029,12
hit,row_19831,1.0,1756054148.854122,12
miss,row_19248,0.6435092091560364,1756054148.854204,12
hit,row_19699,0.9935438632965088,1756054148.8542871,12
hit,row_19735,0.9685797095298767,1756054148.854372,12
hit,row_19226,1.0000001192092896,1756054148.8544588,12
hit,row_19831,1.0,1756054148.854537,12
hit,row_19461,1.0000001192092896,1756054148.85462,12
miss,row_19249,0.6044487357139587,1756054148.854709,12
hit,row_19831,1.0,1756054148.854788,12
miss,row_19980,0.6531816720962524,1756054148.854872,12
hit,row_19699,1.0000001192092896,1756054148.854972,12
hit,row_19699,1.0000001192092896,1756054148.8551092,12
hit,row_19226,1.0000001192092896,1756054148.855223,12
