event,key,sim,timestamp,cache_occupancy
add,row_12735,,1756054087.125273,1
miss,row_12735,,1756054087.125275,1
add,row_18051,,1756054087.1254148,2
miss,row_18051,0.31304267048835754,1756054087.125416,2
miss,row_12325,0.3603361248970032,1756054087.1255748,2
add,row_12324,,1756054087.1257012,3
miss,row_12324,0.3603361248970032,1756054087.1257012,3
hit,row_12324,1.0,1756054087.1258109,3
hit,row_12324,1.0,1756054087.1259232,3
add,row_8721,,1756054087.1260312,4
miss,row_8721,0.5595591068267822,1756054087.1260312,4
hit,row_8721,1.0,1756054087.1261382,4
add,row_6089,,1756054087.126243,5
miss,row_6089,0.29990771412849426,1756054087.126243,5
miss,row_19244,0.6218864321708679,1756054087.126354,5
miss,row_19461,0.4713253974914551,1756054087.1264498,5
miss,row_19710,0.39715251326560974,1756054087.126552,5
miss,row_19743,0.6745554804801941,1756054087.126631,5
add,row_19823,,1756054087.126721,6
miss,row_19823,0.7013399600982666,1756054087.126722,6
miss,row_19462,0.4713253974914551,1756054087.1268091,6
hit,row_19823,0.8707386255264282,1756054087.1269078,6
miss,row_19683,0.45949897170066833,1756054087.126998,6
add,row_19684,,1756054087.1270962,7
miss,row_19684,0.4313221573829651,1756054087.1270971,7
hit,row_19823,0.8707386255264282,1756054087.12718,7
miss,row_19463,0.4713253974914551,1756054087.1273348,7
hit,row_19823,0.7735755443572998,1756054087.127431,7
miss,row_19680,0.3293132781982422,1756054087.1275551,7
miss,row_19008,0.703289806842804,1756054087.12768,7
miss,row_19245,0.5773886442184448,1756054087.127777,7
add,row_19827,,1756054087.127895,8
hit,row_19823,0.7735755443572998,1756054087.127896,8
miss,row_19464,0.4826071858406067,1756054087.127991,8
add,row_19465,,1756054087.128107,9
miss,row_19465,0.4826071858406067,1756054087.128109,9
hit,row_19827,1.0,1756054087.1282089,9
miss,row_19274,0.4661111831665039,1756054087.128302,9
add,row_19246,,1756054087.128412,10
miss,row_19246,0.6121888160705566,1756054087.128413,10
miss,row_19488,0.30578404664993286,1756054087.1285062,10
hit,row_19465,1.0000001192092896,1756054087.1285918,10
add,row_19489,,1756054087.128714,11
miss,row_19489,0.560295581817627,1756054087.128716,11
hit,row_19827,1.0,1756054087.1288168,11
miss,row_19226,0.5299997925758362,1756054087.128906,11
