event,key,sim,timestamp,cache_occupancy
miss,row_12735,,1756054061.8508,0
miss,row_18051,,1756054061.8508108,0
miss,row_12325,,1756054061.850816,0
miss,row_12324,,1756054061.850821,0
miss,row_12326,,1756054061.850825,0
miss,row_12327,,1756054061.8508291,0
miss,row_8721,,1756054061.850833,0
miss,row_8720,,1756054061.850837,0
miss,row_6089,,1756054061.850841,0
miss,row_19244,,1756054061.8508449,0
miss,row_19461,,1756054061.850849,0
miss,row_19710,,1756054061.8508532,0
miss,row_19743,,1756054061.850857,0
miss,row_19823,,1756054061.850861,0
miss,row_19462,,1756054061.850865,0
miss,row_19824,,1756054061.850869,0
add,row_19683,,1756054061.8508842,1
miss,row_19683,,1756054061.8508852,1
hit,row_19683,0.7921233177185059,1756054061.851032,1
miss,row_19825,0.3491068184375763,1756054061.851139,1
miss,row_19463,0.3609684705734253,1756054061.85123,1
add,row_19826,,1756054061.8513548,2
miss,row_19826,0.48201125860214233,1756054061.8513558,2
miss,row_19680,0.2580777108669281,1756054061.8514502,2
add,row_19008,,1756054061.851557,3
miss,row_19008,0.6219610571861267,1756054061.851559,3
miss,row_19245,0.6596985459327698,1756054061.851648,3
hit,row_19826,1.0,1756054061.851743,3
miss,row_19464,0.48554307222366333,1756054061.85184,3
miss,row_19465,0.48554307222366333,1756054061.851939,3
hit,row_19826,1.0,1756054061.852043,3
miss,row_19274,0.4064927101135254,1756054061.852154,3
miss,row_19246,0.7141205072402954,1756054061.852254,3
miss,row_19488,0.24364814162254333,1756054061.85236,3
miss,row_19466,0.48554307222366333,1756054061.8524601,3
miss,row_19489,0.518986701965332,1756054061.852555,3
hit,row_19826,1.0,1756054061.852643,3
miss,row_19226,0.2942470610141754,1756054061.852736,3
miss,row_19467,0.48554307222366333,1756054061.8528152,3
miss,row_19676,0.6310093998908997,1756054061.852896,3
hit,row_19826,1.0,1756054061.852979,3
miss,row_19247,0.7200479507446289,1756054061.85307,3
miss,row_19490,0.518986701965332,1756054061.853151,3
miss,row_19485,0.4703804850578308,1756054061.8532338,3
miss,row_19699,0.5770621299743652,1756054061.853312,3
miss,row_19227,0.2942470610141754,1756054061.8533912,3
miss,row_19491,0.518986701965332,1756054061.853477,3
miss,row_19735,0.6163985729217529,1756054061.853576,3
hit,row_19826,1.0,1756054061.8536582,3
add,row_19700,,1756054061.8537412,4
miss,row_19700,0.5770621299743652,1756054061.8537412,4
