event,key,sim,timestamp,cache_occupancy
add,row_12735,,1756054115.714551,1
miss,row_12735,,1756054115.7145522,1
miss,row_18051,0.31304267048835754,1756054115.7146811,1
add,row_12325,,1756054115.714873,2
miss,row_12325,0.20061331987380981,1756054115.714874,2
hit,row_12325,1.0,1756054115.7149801,2
hit,row_12325,1.0,1756054115.7150998,2
hit,row_12325,1.0,1756054115.715206,2
miss,row_8721,0.5595591068267822,1756054115.7153091,2
miss,row_8720,0.5595591068267822,1756054115.715422,2
miss,row_6089,0.29990771412849426,1756054115.7155252,2
add,row_19244,,1756054115.715641,3
miss,row_19244,0.4993668496608734,1756054115.7156422,3
miss,row_19461,0.4721902012825012,1756054115.715759,3
add,row_19710,,1756054115.7158809,4
miss,row_19710,0.3880651593208313,1756054115.715882,4
miss,row_19743,0.49272051453590393,1756054115.7159889,4
miss,row_19823,0.5063459277153015,1756054115.716088,4
add,row_19462,,1756054115.716197,5
miss,row_19462,0.4721902012825012,1756054115.716198,5
add,row_19824,,1756054115.7163599,6
miss,row_19824,0.40697699785232544,1756054115.716362,6
add,row_19683,,1756054115.716505,7
miss,row_19683,0.4328301250934601,1756054115.716506,7
hit,row_19683,0.7921233177185059,1756054115.716623,7
hit,row_19824,1.0000001192092896,1756054115.716706,7
hit,row_19462,1.0000001192092896,1756054115.716799,7
hit,row_19824,0.794429361820221,1756054115.716897,7
add,row_19680,,1756054115.717014,8
miss,row_19680,0.2931801974773407,1756054115.717016,8
add,row_19008,,1756054115.717124,9
miss,row_19008,0.6876131296157837,1756054115.7171252,9
miss,row_19245,0.6596985459327698,1756054115.717252,9
hit,row_19824,0.794429361820221,1756054115.717351,9
hit,row_19462,1.0000001192092896,1756054115.71745,9
hit,row_19462,1.0000001192092896,1756054115.7175539,9
hit,row_19824,0.794429361820221,1756054115.717655,9
add,row_19274,,1756054115.717775,10
miss,row_19274,0.4004249572753906,1756054115.717777,10
miss,row_19246,0.7141205072402954,1756054115.7178829,10
add,row_19488,,1756054115.718011,11
miss,row_19488,0.3907623589038849,1756054115.7180128,11
hit,row_19462,1.0000001192092896,1756054115.7181308,11
add,row_19489,,1756054115.718244,12
miss,row_19489,0.6703006625175476,1756054115.718244,12
add,row_19829,,1756054115.718347,13
hit,row_19824,0.794429361820221,1756054115.718349,13
add,row_19226,,1756054115.718461,14
miss,row_19226,0.5299997925758362,1756054115.718462,14
hit,row_19462,1.0000001192092896,1756054115.718554,14
add,row_19676,,1756054115.718675,15
miss,row_19676,0.6310093998908997,1756054115.7186759,15
hit,row_19829,1.0,1756054115.7187688,15
miss,row_19247,0.7200479507446289,1756054115.7188768,15
hit,row_19489,1.0,1756054115.718988,15
miss,row_19485,0.5262680649757385,1756054115.7190862,15
miss,row_19699,0.6287775039672852,1756054115.719211,15
hit,row_19226,1.0000001192092896,1756054115.719305,15
hit,row_19489,1.0,1756054115.719417,15
miss,row_19735,0.6163985729217529,1756054115.719512,15
hit,row_19829,1.0,1756054115.71962,15
miss,row_19700,0.6287775039672852,1756054115.719718,15
hit,row_19829,1.0,1756054115.7198248,15
miss,row_19718,0.5137856006622314,1756054115.7199502,15
hit,row_19462,1.0000001192092896,1756054115.720052,15
hit,row_19226,1.0000001192092896,1756054115.72015,15
