event,key,sim,timestamp,cache_occupancy
miss,row_12735,,1756054066.034074,0
add,row_18051,,1756054066.0340931,1
miss,row_18051,,1756054066.034094,1
miss,row_12325,0.3603361248970032,1756054066.0343091,1
add,row_12324,,1756054066.03448,2
miss,row_12324,0.3603361248970032,1756054066.034483,2
hit,row_12324,1.0,1756054066.0345879,2
hit,row_12324,1.0,1756054066.034712,2
miss,row_8721,0.5595591068267822,1756054066.0348248,2
add,row_8720,,1756054066.0349529,3
miss,row_8720,0.5595591068267822,1756054066.034955,3
miss,row_6089,0.1963852345943451,1756054066.035058,3
add,row_19244,,1756054066.035177,4
miss,row_19244,0.6218864321708679,1756054066.035178,4
miss,row_19461,0.4721902012825012,1756054066.035278,4
add,row_19710,,1756054066.035379,5
miss,row_19710,0.39715251326560974,1756054066.035379,5
add,row_19743,,1756054066.03549,6
miss,row_19743,0.6745554804801941,1756054066.03549,6
add,row_19823,,1756054066.0355961,7
miss,row_19823,0.7013399600982666,1756054066.035597,7
add,row_19462,,1756054066.035692,8
miss,row_19462,0.5412648916244507,1756054066.0356932,8
hit,row_19823,0.8707386255264282,1756054066.035778,8
miss,row_19683,0.4982869029045105,1756054066.0358799,8
miss,row_19684,0.49344754219055176,1756054066.035966,8
hit,row_19823,0.8707386255264282,1756054066.036074,8
hit,row_19462,1.0000001192092896,1756054066.036177,8
hit,row_19823,0.7735755443572998,1756054066.036294,8
miss,row_19680,0.33555617928504944,1756054066.0363991,8
miss,row_19008,0.703289806842804,1756054066.036509,8
miss,row_19245,0.5773886442184448,1756054066.036614,8
hit,row_19823,0.7735755443572998,1756054066.036705,8
hit,row_19462,1.0000001192092896,1756054066.036812,8
hit,row_19462,1.0000001192092896,1756054066.036932,8
hit,row_19823,0.7735755443572998,1756054066.037036,8
miss,row_19274,0.423898309469223,1756054066.037146,8
add,row_19246,,1756054066.0372632,9
miss,row_19246,0.6428078413009644,1756054066.0372639,9
add,row_19488,,1756054066.03738,10
miss,row_19488,0.30578404664993286,1756054066.0373812,10
hit,row_19462,1.0000001192092896,1756054066.037494,10
miss,row_19489,0.560295581817627,1756054066.037607,10
add,row_19829,,1756054066.037724,11
hit,row_19823,0.7735755443572998,1756054066.037725,11
miss,row_19226,0.36196959018707275,1756054066.0378292,11
hit,row_19462,1.0000001192092896,1756054066.037926,11
miss,row_19676,0.5776775479316711,1756054066.038035,11
hit,row_19829,1.0,1756054066.038153,11
miss,row_19247,0.6789552569389343,1756054066.038249,11
miss,row_19490,0.560295581817627,1756054066.038341,11
miss,row_19485,0.5554088354110718,1756054066.03844,11
miss,row_19699,0.5770621299743652,1756054066.0385458,11
add,row_19227,,1756054066.038698,12
miss,row_19227,0.36196959018707275,1756054066.038699,12
miss,row_19491,0.560295581817627,1756054066.038856,12
miss,row_19735,0.5789269804954529,1756054066.038982,12
hit,row_19829,1.0,1756054066.039101,12
add,row_19700,,1756054066.039228,13
miss,row_19700,0.5770621299743652,1756054066.039229,13
hit,row_19829,1.0,1756054066.039351,13
miss,row_19718,0.5137856006622314,1756054066.0395021,13
hit,row_19462,1.0000001192092896,1756054066.0396318,13
hit,row_19227,1.0000001192092896,1756054066.039756,13
add,row_19961,,1756054066.0398688,14
miss,row_19961,0.42476969957351685,1756054066.03987,14
add,row_19719,,1756054066.040004,15
miss,row_19719,0.4865274131298065,1756054066.0400052,15
hit,row_19829,1.0,1756054066.040113,15
miss,row_19248,0.6435092091560364,1756054066.040236,15
hit,row_19700,0.9935438632965088,1756054066.0403352,15
miss,row_19736,0.6082735657691956,1756054066.040471,15
hit,row_19227,1.0000001192092896,1756054066.0405812,15
hit,row_19829,1.0,1756054066.040683,15
hit,row_19462,1.0000001192092896,1756054066.0407848,15
add,row_19249,,1756054066.040896,16
miss,row_19249,0.6386858224868774,1756054066.0408971,16
hit,row_19829,1.0,1756054066.041,16
add,row_19980,,1756054066.041124,17
miss,row_19980,0.6531816720962524,1756054066.041125,17
hit,row_19700,1.0000001192092896,1756054066.0412219,17
hit,row_19700,1.0000001192092896,1756054066.041325,17
hit,row_19227,1.0000001192092896,1756054066.0414221,17
hit,row_19980,0.7810689210891724,1756054066.041518,17
add,row_19733,,1756054066.041621,18
miss,row_19733,0.34154170751571655,1756054066.041622,18
